Prix,Achat_Tot,Date,Part_Strat
137.0,13.0,11.0,0.35
127.0,17.0,12.0,0.35
175.0,12.0,1.0,0.36
229.0,2.0,2.0,0.36
141.0,16.0,3.0,0.36
107.0,23.0,4.0,0.36
181.0,3.0,5.0,0.36
207.0,1.0,6.0,0.36
163.0,14.0,7.0,0.36
129.0,16.0,8.0,0.36
125.0,19.0,9.0,0.36
153.0,9.0,10.0,0.36
174.0,11.0,11.0,0.36
165.0,23.0,12.0,0.36
123.0,23.0,1.0,0.37
178.0,1.0,2.0,0.37
205.0,2.0,3.0,0.37
93.0,30.0,4.0,0.37
196.0,1.0,5.0,0.37
100.0,26.0,6.0,0.37
83.0,30.0,7.0,0.37
223.0,3.0,8.0,0.37
87.0,30.0,9.0,0.37
155.0,9.0,10.0,0.37
114.0,9.0,11.0,0.37
148.0,8.0,12.0,0.37
221.0,1.0,1.0,0.38
228.0,6.0,2.0,0.38
119.0,18.0,3.0,0.38
198.0,0.0,4.0,0.38
110.0,16.0,5.0,0.38
126.0,4.0,6.0,0.38
98.0,30.0,7.0,0.38
211.0,3.0,8.0,0.38
70.0,30.0,9.0,0.38
195.0,11.0,10.0,0.38
145.0,17.0,11.0,0.38
76.0,12.0,12.0,0.38
88.0,30.0,1.0,0.39
163.0,3.0,2.0,0.39
165.0,4.0,3.0,0.39
86.0,30.0,4.0,0.39
215.0,2.0,5.0,0.39
140.0,6.0,6.0,0.39
139.0,16.0,7.0,0.39
189.0,3.0,8.0,0.39
220.0,4.0,9.0,0.39
123.0,16.0,10.0,0.39
75.0,27.0,11.0,0.39
154.0,0.0,12.0,0.39
123.0,23.0,1.0,0.4
180.0,1.0,2.0,0.4
197.0,2.0,3.0,0.4
162.0,7.0,4.0,0.4
139.0,10.0,5.0,0.4
74.0,30.0,6.0,0.4
132.0,4.0,7.0,0.4
109.0,9.0,8.0,0.4
109.0,17.0,9.0,0.4
117.0,8.0,10.0,0.4
177.0,15.0,11.0,0.4
199.0,18.0,12.0,0.4
139.0,21.0,1.0,0.41
157.0,4.0,2.0,0.41
84.0,30.0,3.0,0.41
217.0,1.0,4.0,0.41
163.0,4.0,5.0,0.41
141.0,14.0,6.0,0.41
150.0,5.0,7.0,0.41
154.0,4.0,8.0,0.41
92.0,30.0,9.0,0.41
211.0,3.0,10.0,0.41
146.0,15.0,11.0,0.41
129.0,14.0,12.0,0.41
157.0,14.0,1.0,0.42
225.0,1.0,2.0,0.42
191.0,2.0,3.0,0.42
143.0,13.0,4.0,0.42
224.0,1.0,5.0,0.42
109.0,14.0,6.0,0.42
201.0,3.0,7.0,0.42
119.0,7.0,8.0,0.42
168.0,2.0,9.0,0.42
82.0,30.0,10.0,0.42
82.0,29.0,11.0,0.42
166.0,0.0,12.0,0.42
182.0,8.0,1.0,0.43
134.0,15.0,2.0,0.43
98.0,30.0,3.0,0.43
95.0,30.0,4.0,0.43
178.0,5.0,5.0,0.43
176.0,2.0,6.0,0.43
224.0,2.0,7.0,0.43
87.0,30.0,8.0,0.43
189.0,11.0,9.0,0.43
185.0,15.0,10.0,0.43
151.0,14.0,11.0,0.43
220.0,9.0,12.0,0.43
197.0,1.0,1.0,0.44
156.0,12.0,2.0,0.44
71.0,30.0,3.0,0.44
209.0,0.0,4.0,0.44
114.0,3.0,5.0,0.44
219.0,1.0,6.0,0.44
200.0,1.0,7.0,0.44
